State,Abbr,Region,Division,GDP,PopEst,TotCons,TotProd,TotExpnd
Alabama,AL,South,East South Central,197534.5,4849377,1958221,1353725,24146.5
Alaska,AK,West,Pacific,58066.75,736732,603119,1475129,6890.6
Arizona,AZ,West,Mountain,281558.75,2966369,1422590,635050,22609.6
Arkansas,AR,South,West South Central,121064.75,6731484,1114409,1454325,13884.9
California,CA,West,Pacific,2324995.5,38802500,7620082,2413494,137719.8
Colorado,CO,West,Mountain,305366.75,5355866,1477177,3041634,19994.4
Connecticut,CT,Northeast,New England,250763.75,3596677,750019,197271,15483.4
Delaware,DE,South,South Atlantic,65484.75,935614,274013,4189,3848.5
Florida,FL,South,South Atlantic,835578.5,19893297,4121680,553738,66413.6
Georgia,GA,South,South Atlantic,471879.5,10097343,2850990,597955,39727.8
Hawaii,HI,West,Pacific,76424.75,1419561,281206,27166,7378.6
Idaho,ID,West,Mountain,63364,1634464,519935,154936,6980.2
Illinois,IL,Midwest,East North Central,742027.75,12880580,4042313,2683815,51550
Indiana,IN,Midwest,East North Central,324289,6596855,2931630,1123098,34151.9
Iowa,IA,Midwest,West North Central,170715,3107126,1541900,757014,18021.8
Kansas,KS,Midwest,West North Central,146562,2904021,1132354,880650,14646.3
Kentucky,KY,South,East South Central,188518,4413457,1770741,2055121,22467
Louisiana,LA,South,West South Central,245790.75,4649676,4279443,2852411,45399.7
Maine,ME,Northeast,New England,55029,1330089,410530,151257,7557.6
Maryland,MD,South,South Atlantic,350262.5,5976407,1400614,250058,22951.3
Massachusetts,MA,Northeast,New England,456273,6745408,1437640,124671,27574.4
Michigan,MI,Midwest,East North Central,447221.25,9909877,2881550,682788,40740.1
Minnesota,MN,Midwest,West North Central,320381.25,5457173,1912065,466967,25312.2
Mississippi,MS,South,East South Central,104937.5,2994079,1155549,402842,15948.5
Missouri,MO,Midwest,West North Central,283280.25,6063589,1903839,199586,26719
Montana,MT,West,Mountain,44672.25,1023579,403446,1161804,5527.5
Nebraska,NE,Midwest,West North Central,110663.25,1881503,864347,401699,10330.1
Nevada,NV,West,Mountain,134052.25,2839099,660256,71140,10513
New Hampshire,NH,Northeast,New England,70345.25,1326813,310142,161033,6360.8
New Jersey,NJ,Northeast,Middle Atlantic,545374.25,8938175,2340188,388386,39116.9
New Mexico,NM,West,Mountain,94791.5,2085572,679136,2514744,9019.7
New York,NY,Northeast,Middle Atlantic,1385776.25,19746227,3742892,871720,68056.2
North Carolina,NC,South,South Atlantic,474355.25,9943964,2554776,595660,37283.2
North Dakota,ND,Midwest,West North Central,58230,739482,640095,3261360,8209.6
Ohio,OH,Midwest,East North Central,588827.75,11594163,3809648,1547368,51385.5
Oklahoma,OK,South,West South Central,190170.5,3878051,1679856,3572829,20496.9
Oregon,OR,West,Pacific,203328,3970239,987145,479935,14866.2
Pennsylvania,PA,Northeast,Middle Atlantic,672413.25,12787209,3902434,7087392,55665.8
Rhode Island,RI,Northeast,New England,55098.25,1055173,204459,4304,4203.7
South Carolina,SC,South,South Atlantic,189655.5,4832482,1632085,675110,21875.7
South Dakota,SD,Midwest,West North Central,45600,853175,391857,249789,4819.4
Tennessee,TN,South,East South Central,300015.25,6549352,2194512,499501,29614.6
Texas,TX,South,West South Central,1601976.75,26956958,12899498,17597105,162555.8
Utah,UT,West,Mountain,140565,2942902,797995,1170681,10755.3
Vermont,VT,Northeast,New England,29661.75,626562,139897,85874,3274.9
Virginia,VA,South,South Atlantic,462243,8326289,2430205,979780,33979.6
Washington,WA,West,Pacific,422766.5,7061530,2011941,1027404,25804.2
West Virginia,WV,South,South Atlantic,74432.75,1850326,752942,4154063,8756.3
Wisconsin,WI,Midwest,East North Central,293341.25,5757564,1868867,298603,26448.1
Wyoming,WY,West,Mountain,40875.5,584153,535612,9361755,5841.2
District of Columbia,DC,South,South Atlantic,116539.25,658893,178929,360,2320.3
